2025-10-29 18:17:21 | INFO     | root | Logs will be saved to logs/app_2025-10-29_18-17-21.log
2025-10-29 18:17:21 | INFO     | flet | Assets path configured: /Users/govindajithkumar/PycharmProjects/FoodBarcodeScanner/assets
2025-10-29 18:17:21 | INFO     | flet | Starting up UDS server on /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/NFoObFmQRD
2025-10-29 18:17:21 | INFO     | flet | Flet app has started...
2025-10-29 18:17:21 | INFO     | flet | App URL: /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/NFoObFmQRD
2025-10-29 18:17:21 | INFO     | flet_desktop | Starting Flet View app...
2025-10-29 18:17:21 | INFO     | flet_desktop | Flet View found in: /Users/govindajithkumar/.flet/bin/flet-0.28.3
2025-10-29 18:17:21 | INFO     | flet | App session started
2025-10-29 18:17:40 | INFO     | utils | Barcode Updated - 8445290728791 is a valid numerical barcode
2025-10-29 18:17:40 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 3, '8445290728792': 1} 
2025-10-29 18:17:40 | INFO     | utils | History updated successfully.
2025-10-29 18:17:40 | INFO     | utils | JSON file 8445290728791 exists in history directory.
2025-10-29 18:17:40 | INFO     | ui | File found from history - will use that
2025-10-29 18:17:40 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 18:17:40 | INFO     | get_food_db | Successfully fetched all available and requested from website
2025-10-29 18:17:40 | INFO     | ui | New Barcode Data processed for 8445290728791
2025-10-29 18:17:40 | INFO     | ui | Successfully showed image for 8445290728791
2025-10-29 18:17:40 | INFO     | utils | Barcode Updated - 8445290728791 is a valid numerical barcode
2025-10-29 18:17:40 | INFO     | ui | Successfully updated nutritional info for 8445290728791
2025-10-29 18:17:49 | INFO     | utils | Barcode Updated - 8445290728798 is a valid numerical barcode
2025-10-29 18:17:49 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 3, '8445290728792': 1, '8445290728798': 1} 
2025-10-29 18:17:49 | INFO     | utils | History updated successfully.
2025-10-29 18:17:49 | INFO     | utils | JSON file 8445290728798 exists in history directory.
2025-10-29 18:17:49 | INFO     | ui | File found from history - will use that
2025-10-29 18:17:49 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 18:17:49 | ERROR    | get_food_db | Image not available on the website
2025-10-29 18:17:49 | ERROR    | get_food_db | Serving Size not available on the website
2025-10-29 18:17:49 | ERROR    | get_food_db | Product Name not available on the website
2025-10-29 18:17:49 | ERROR    | get_food_db | Nutriments not available on the website
